bigg_id;KeggID
h2o;C00001
atp;C00002
nad;C00003
nadh;C00004
nadph;C00005
nadp;C00006
o2;C00007
adp;C00008
pi;C00009
coa;C00010
co2;C00011
pepd;C00012
peptide;C00012
ppi;C00013
nh4;C00014
udp;C00015
fad;C00016
pydx5p;C00018
amet;C00019
amp;C00020
ahcys;C00021
pyr;C00022
accoa;C00024
glu__L;C00025
akg;C00026
h2o2;C00027
udpg;C00029
glc__D;C00031
pheme;C00032
ac;C00033
gdp;C00035
oaa;C00036
gly;C00037
zn2;C00038
dna;C00039
acoa;C00040
ala__L;C00041
succ;C00042
uacgam;C00043
gtp;C00044
lys__L;C00047
glx;C00048
asp__L;C00049
gthrd;C00051
udpgal;C00052
paps;C00053
pap;C00054
cmp;C00055
for;C00058
so4;C00059
Rtotal;C00060
fmn;C00061
arg__L;C00062
ctp;C00063
gln__L;C00064
ser__L;C00065
fald;C00067
thmpp;C00068
cu2;C00070
ascb__L;C00072
met__L;C00073
pep;C00074
utp;C00075
ca2;C00076
orn;C00077
orn__L;C00077
trp__L;C00078
phe__L;C00079
h;C00080
itp;C00081
tyr__L;C00082
malcoa;C00083
acald;C00084
urea;C00086
s;C00087
no2;C00088
sucr;C00089
catechol;C00090
succoa;C00091
g6p;C00092
glyc3p;C00093
so3;C00094
fru;C00095
gdpmann;C00096
cys__L;C00097
ala_B;C00099
ppcoa;C00100
thf;C00101
g1p;C00103
idp;C00104
ump;C00105
ura;C00106
anth;C00108
2obut;C00109
dhap;C00111
cdp;C00112
pqq;C00113
chol;C00114
glyc;C00116
g3p;C00118
prpp;C00119
btn;C00120
rib__D;C00121
fum;C00122
leu__L;C00123
gal;C00124
ficytC;C00125
ficytcc553;C00125
ficytcc;C00125
focytcc553;C00126
focytC;C00126
focytcc;C00126
gthox;C00127
cmpacna;C00128
ipdp;C00129
imp;C00130
datp;C00131
meoh;C00132
ala__D;C00133
ptrc;C00134
his__L;C00135
btcoa;C00136
inost;C00137
fdxrd;C00138
fdxox;C00139
fdxo_2_2;C00139
acgam;C00140
3mob;C00141
mlthf;C00143
gmp;C00144
phenol;C00146
ade;C00147
pro__L;C00148
