community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	Acaldus_smetana	Aferrooxidans_smetana	M_alaala__extr	1.0	0.01	1	0.01
all	minimal	Acaldus_smetana	Aferrooxidans_smetana	M_cgly__extr	1.0	0.92	1	0.92
all	minimal	Acaldus_smetana	Aferrooxidans_smetana	M_co2__extr	1.0	0.03	1	0.03
all	minimal	Acaldus_smetana	Aferrooxidans_smetana	M_fe2__extr	1.0	0.57	1	0.57
all	minimal	Acaldus_smetana	Aferrooxidans_smetana	M_glucys__extr	1.0	0.01	1	0.01
all	minimal	Acaldus_smetana	Aferrooxidans_smetana	M_h2o__extr	1.0	0.07	1	0.07
all	minimal	Acaldus_smetana	Aferrooxidans_smetana	M_h2s__extr	1.0	0.02	1	0.02
all	minimal	Acaldus_smetana	Aferrooxidans_smetana	M_h__extr	1.0	0.03	1	0.03
all	minimal	Acaldus_smetana	Aferrooxidans_smetana	M_hco3__extr	1.0	0.13	1	0.13
all	minimal	Acaldus_smetana	Aferrooxidans_smetana	M_nh4__extr	1.0	0.08	1	0.08
all	minimal	Acaldus_smetana	Aferrooxidans_smetana	M_o2__extr	1.0	0.56	1	0.56
all	minimal	Acaldus_smetana	Aferrooxidans_smetana	M_pi__extr	1.0	0.57	1	0.57
all	minimal	Acaldus_smetana	Aferrooxidans_smetana	M_ppi__extr	1.0	0.43	1	0.43
all	minimal	Aferrooxidans_smetana	Acaldus_smetana	M_co2__extr	1.0	0.08	1	0.08
all	minimal	Aferrooxidans_smetana	Acaldus_smetana	M_fe2__extr	1.0	0.45	1	0.45
all	minimal	Aferrooxidans_smetana	Acaldus_smetana	M_glucys__extr	1.0	0.03	1	0.03
all	minimal	Aferrooxidans_smetana	Acaldus_smetana	M_h2s__extr	1.0	0.29	1	0.29
all	minimal	Aferrooxidans_smetana	Acaldus_smetana	M_hco3__extr	1.0	0.02	1	0.02
all	minimal	Aferrooxidans_smetana	Acaldus_smetana	M_nh4__extr	1.0	0.05	1	0.05
all	minimal	Aferrooxidans_smetana	Acaldus_smetana	M_o2__extr	1.0	0.63	1	0.63
all	minimal	Aferrooxidans_smetana	Acaldus_smetana	M_pa_EC__extr	1.0	1.0	1	1.0
all	minimal	Aferrooxidans_smetana	Acaldus_smetana	M_pglyc_cho__extr	1.0	0.03	1	0.03
all	minimal	Aferrooxidans_smetana	Acaldus_smetana	M_pi__extr	1.0	0.05	1	0.05
all	minimal	Aferrooxidans_smetana	Acaldus_smetana	M_so4__extr	1.0	0.58	1	0.58
all	minimal	Aferrooxidans_smetana	Acaldus_smetana	M_tsul__extr	1.0	0.13	1	0.13
